series_id,model,mae,smape
M32772,naive,834.852492,30.318798
M32772,seasonal_naive,549.497847,21.468370
M32772,auto_theta,566.226644,21.968806
M32772,auto_ets,627.425817,23.947550
M39513,naive,135.148889,8.823450
M39513,seasonal_naive,254.097222,15.794438
M39513,auto_theta,158.006854,10.215417
M39513,auto_ets,23.980885,1.635221
M43582,naive,304.734983,8.620161
M43582,seasonal_naive,237.296067,6.607999
M43582,auto_theta,322.528641,9.162975
M43582,auto_ets,302.555034,8.554201
M2976,naive,199.957222,1.782513
M2976,seasonal_naive,446.515556,4.091259
M2976,auto_theta,262.209792,2.332196
M2976,auto_ets,199.957222,1.782513
M3378,naive,57.255943,0.925216
M3378,seasonal_naive,101.572659,1.651822
M3378,auto_theta,55.891629,0.903322
M3378,auto_ets,55.464553,0.896484
M3793,naive,249.757157,6.585454
M3793,seasonal_naive,244.567109,6.606320
M3793,auto_theta,146.997699,4.189019
M3793,auto_ets,145.102493,4.143539
M34124,naive,686.062301,24.782993
M34124,seasonal_naive,294.320287,11.634598
M34124,auto_theta,302.465037,12.449821
M34124,auto_ets,251.509440,10.193739
M19848,naive,638.888889,29.310736
M19848,seasonal_naive,1072.222222,43.327318
M19848,auto_theta,461.035131,21.940162
M19848,auto_ets,893.912358,38.348723
M10422,naive,39.166667,3.542628
M10422,seasonal_naive,36.111111,3.262847
M10422,auto_theta,33.473602,3.019180
M10422,auto_ets,41.394520,3.749962
M28534,naive,201.888889,2.004617
M28534,seasonal_naive,132.944444,1.323712
M28534,auto_theta,84.632245,0.842618
M28534,auto_ets,86.283705,0.856770
M35123,naive,389.284840,17.927904
M35123,seasonal_naive,210.481568,9.952974
M35123,auto_theta,113.913102,5.581683
M35123,auto_ets,94.559399,4.585896
M38965,naive,127.777778,1.276025
M38965,seasonal_naive,100.000000,1.001003
M38965,auto_theta,74.803331,0.747494
M38965,auto_ets,36.068031,0.359810
M4832,naive,163.596201,2.981040
M4832,seasonal_naive,103.944464,1.886981
