series_id,model,mae,smape
M32772,catboost_none,823.905474,29.949922
M39513,catboost_none,219.589640,13.895494
M43582,catboost_none,215.357866,5.951863
M2976,catboost_none,357.339097,3.215020
M3378,catboost_none,111.762422,1.794843
M3793,catboost_none,251.401188,6.647752
M34124,catboost_none,574.095444,21.292852
M19848,catboost_none,876.323363,37.696825
M10422,catboost_none,36.850906,3.329277
M28534,catboost_none,184.557150,1.835037
M35123,catboost_none,287.099133,13.636013
M38965,catboost_none,124.257914,1.240920
M4832,catboost_none,118.363639,2.126976
M26546,catboost_none,1156.115388,18.480893
M26508,catboost_none,129.537849,2.908090
M843,catboost_none,6.399415,0.588281
M27135,catboost_none,60.382377,4.607431
M24472,catboost_none,176.217913,1.710313
M41399,catboost_none,590.382186,8.710571
M6401,catboost_none,1072.444143,8.660004
M8727,catboost_none,188.758844,30.202851
M19175,catboost_none,759.551262,12.983322
M34044,catboost_none,880.015733,21.275409
M10601,catboost_none,679.467921,16.798701
M22156,catboost_none,144.426554,3.851773
M13817,catboost_none,583.392584,19.500903
M20403,catboost_none,588.135894,50.499083
M33554,catboost_none,39.876295,6.149973
M17448,catboost_none,380.918082,38.737118
M1705,catboost_none,79.803796,2.896721
M24937,catboost_none,203.110802,4.754605
M15412,catboost_none,1330.077868,16.733381
M9114,catboost_none,454.494401,22.923081
M41584,catboost_none,674.197047,7.238856
M19528,catboost_none,173.843484,13.192669
M31381,catboost_none,749.910695,23.787582
M37217,catboost_none,47.058029,4.399768
M5663,catboost_none,850.171793,7.533263
M23337,catboost_none,17.126858,1.024173
M15952,catboost_none,743.300108,13.689658
M43622,catboost_none,1545.749014,13.239999
M47799,catboost_none,1370.051849,33.767408
M36823,catboost_none,777.847653,5.049344
M19842,catboost_none,708.504424,26.923155
M3920,catboost_none,295.279191,10.344286
M33760,catboost_none,1674.470572,23.618152
M26741,catboost_none,258.958093,3.291391
M11301,catboost_none,49.112468,2.141037
M39695,catboost_none,522.237450,6.574830
M26684,catboost_none,961.019694,16.779090
M32983,catboost_none,75.849129,6.686982
M34628,catboost_none,2192.785171,31.161205
M24410,catboost_none,222.365406,5.415421
M10445,catboost_none,49.320592,4.789006
M27785,catboost_none,1238.397234,8.844264
M16157,catboost_none,304.780865,21.915483
M27832,catboost_none,579.953648,18.039493
M45377,catboost_none,329.897509,15.314530
M26001,catboost_none,149.564339,3.058285
M40961,catboost_none,5835.345822,43.014939
M5,catboost_none,148.032831,3.334791
M6840,catboost_none,697.350438,8.780305
M36792,catboost_none,206.710440,7.205552
M27368,catboost_none,874.975214,4.510269
M11193,catboost_none,68.330860,1.451785
M44275,catboost_none,34.997323,18.471531
M27721,catboost_none,23.884777,1.784823
M46313,catboost_none,254.338593,4.066592
M40266,catboost_none,1529.978587,17.655965
M19269,catboost_none,340.862080,25.149881
M39188,catboost_none,52.093096,2.149165
M40717,catboost_none,1807.933109,10.322274
M9061,catboost_none,1245.607885,48.144485
M37631,catboost_none,207.989363,2.021210
M14400,catboost_none,2348.876053,17.855286
M43093,catboost_none,36.408335,2.095404
M45915,catboost_none,111.587934,6.328791
M10391,catboost_none,308.154971,8.298826
M2477,catboost_none,198.827401,3.595763
M41747,catboost_none,539.011332,20.415238
M7569,catboost_none,704.464374,34.597973
M45430,catboost_none,590.227954,18.702850
