series_id,model,mae,smape
M32772,lstm_none,2439.691526,193.094167
M39513,lstm_none,1437.071159,188.936584
M43582,lstm_none,3557.037231,195.366747
M2976,lstm_none,11169.303936,198.506246
M3378,lstm_none,6146.906315,197.303453
M3793,lstm_none,3788.931532,195.635450
M34124,lstm_none,2567.248422,193.431968
M19848,lstm_none,1985.777825,191.496735
M10422,lstm_none,1072.277825,185.460116
M28534,lstm_none,10039.000047,198.339670
M35123,lstm_none,2026.544870,191.916157
M38965,lstm_none,10019.111159,198.336622
M4832,lstm_none,5500.981838,196.991051
M26546,lstm_none,5713.555603,197.078300
M26508,lstm_none,4368.555603,196.226015
M843,lstm_none,1046.008936,185.132181
M27135,lstm_none,1231.666714,187.230689
M24472,lstm_none,10271.190177,198.377204
M41399,lstm_none,6735.777825,197.508524
M6401,lstm_none,11852.444492,198.572034
M8727,lstm_none,506.333381,171.027378
M19175,lstm_none,5830.222270,197.095765
M34044,lstm_none,4487.400881,196.300191
M10601,lstm_none,4001.333381,195.725534
M22156,lstm_none,3701.888936,195.555497
M13817,lstm_none,3176.711159,194.800653
M20403,lstm_none,881.888936,181.529364
M33554,lstm_none,602.055603,175.432637
M17448,lstm_none,905.222270,180.730718
M1705,lstm_none,2706.888936,193.967829
M24937,lstm_none,4221.211785,196.083256
M15412,lstm_none,7950.225103,197.831037
M9114,lstm_none,1761.666714,190.784690
M41584,lstm_none,9524.865670,198.249164
M19528,lstm_none,1318.555603,187.709166
M31381,lstm_none,2936.411159,194.218867
M37217,lstm_none,1037.166714,184.992981
M5663,lstm_none,11131.266786,198.495647
M23337,lstm_none,1629.388936,190.194344
M15952,lstm_none,5701.763936,197.088104
M43622,lstm_none,12218.226831,198.628686
M47799,lstm_none,3964.716714,195.254872
M36823,lstm_none,15465.239159,198.917494
M19842,lstm_none,2352.444492,192.918834
M3920,lstm_none,2752.500047,194.028459
M33760,lstm_none,6521.367381,197.397440
M26741,lstm_none,7670.222270,197.833394
M11301,lstm_none,2239.666714,192.766348
M39695,lstm_none,7630.222270,197.821691
M26684,lstm_none,5552.444492,196.951710
M32983,lstm_none,1078.105047,185.496835
M34628,lstm_none,7344.666714,197.505140
M24410,lstm_none,3964.032915,195.847834
M10445,lstm_none,999.833381,184.481647
M27785,lstm_none,14097.444492,198.804801
M16157,lstm_none,1383.666714,188.062527
M27832,lstm_none,3241.333381,194.691114
M45377,lstm_none,2083.480388,192.094267
M26001,lstm_none,4835.912541,196.582278
M40961,lstm_none,15801.733381,198.905140
M5,lstm_none,4326.333381,196.189739
M6840,lstm_none,7882.716714,197.864679
M36792,lstm_none,2916.808559,194.397005
M27368,lstm_none,19786.333381,199.154485
M11193,lstm_none,4620.222270,196.428273
M44275,lstm_none,130.355649,121.584082
M27721,lstm_none,1283.888936,187.718200
M46313,lstm_none,6247.352492,197.339063
M40266,lstm_none,8530.222270,197.962570
M19269,lstm_none,1249.666714,186.877802
M39188,lstm_none,2372.238936,193.157542
M40717,lstm_none,18301.917825,199.085466
M9061,lstm_none,2102.444492,191.716598
M37631,lstm_none,10288.555603,198.379859
M14400,lstm_none,12760.222270,198.638044
M43093,lstm_none,1716.500047,190.668672
M45915,lstm_none,1762.127996,190.888422
M10391,lstm_none,3710.000047,195.540949
M2477,lstm_none,5589.111159,197.030066
M41747,lstm_none,2523.061159,193.137697
M7569,lstm_none,1665.777825,190.239525
M45430,lstm_none,3241.591425,194.841358
M10158,lstm_none,1735.888936,190.767842
M24801,lstm_none,2742.857068,194.056300
M44781,lstm_none,12446.408995,198.635192
M854,lstm_none,4308.555603,196.163823
M43251,lstm_none,1001.885997,184.398870
M12609,lstm_none,3378.055603,195.145785
M986,lstm_none,2239.388936,192.767244
M26132,lstm_none,1396.415200,188.645052
M39259,lstm_none,9021.683936,198.152226
M18286,lstm_none,3691.333381,195.339147
M24589,lstm_none,3269.829192,194.989082
M2711,lstm_none,9802.444492,198.268928
M28213,lstm_none,9877.555603,198.312900
M25943,lstm_none,14619.519745,198.856230
M40019,lstm_none,5498.555603,196.967127
M31002,lstm_none,4353.849492,195.847069
M27478,lstm_none,3131.111159,194.774175
M36609,lstm_none,1373.000047,188.464761
M10677,lstm_none,16544.111159,198.989444
M12734,lstm_none,1241.944492,187.324650
M25835,lstm_none,7123.022825,197.668529
M1423,lstm_none,2574.111159,193.677542
M14274,lstm_none,7898.500047,197.895192
M36159,lstm_none,6670.500047,197.488228
M30895,lstm_none,7315.500047,197.709116
M34094,lstm_none,3589.887819,191.596849
M30170,lstm_none,3875.777825,195.753995
M21061,lstm_none,1885.222270,191.439443
M2864,lstm_none,11618.555603,198.533698
M47962,lstm_none,4442.444492,196.284297
M20089,lstm_none,2006.888936,191.867502
M15704,lstm_none,2057.055603,191.709333
M2800,lstm_none,3509.433720,195.299772
M17556,lstm_none,1000.222270,183.746092
M3169,lstm_none,12266.888936,198.634844
M8649,lstm_none,2197.444492,192.468397
M27326,lstm_none,1527.055603,189.571162
M31121,lstm_none,1292.388936,187.768045
M2433,lstm_none,5573.000047,197.012977
M41134,lstm_none,6063.149603,197.233084
M31081,lstm_none,3914.255603,195.772368
M7194,lstm_none,4874.666714,196.407748
M21216,lstm_none,2485.222270,193.451046
M6651,lstm_none,8063.777825,197.919060
M8298,lstm_none,2358.000047,192.546688
